district,zone,variable,Model,R2,CV_R2,RMSE,Gen_Gap,Composite_Score,Status
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,CatBoost,0.9695982143605011,0.9623376785580755,0.8221006214843699,0.007260535802425583,0.9666542835210055,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,XGBoost,0.9645283187191175,0.9594246763152151,0.8880068523626328,0.005103642403902375,0.8934007224478212,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,RandomForest,0.937925938433398,0.7757417073156839,1.1747095828398397,0.16218423111771407,0.0,Overfit Risk
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,RandomForest,0.6851627668006838,0.6460791589474114,3.9247886653242596,0.03908360785327236,0.8382650753655267,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,LightGBM,0.6269825969479179,0.6615723068254271,4.272064294187645,0.0345897098775092,0.7865261959540187,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,CatBoost,0.5959191843377616,0.6780625797557847,4.44638791591213,0.08214339541802307,0.5484069965875155,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,XGBoost,0.5222502459543659,0.5919324698822874,4.834743844435182,0.06968222392792156,0.05240885684658482,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,LightGBM,0.7606390177916914,0.8050767274808901,18.19393871481931,0.04443770968919869,0.9010004272538986,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,CatBoost,0.7574007808696972,0.770787842057073,18.316595204927435,0.01338706118737576,0.7833990792669467,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,RandomForest,0.7633883813262343,0.6656934160761198,18.089146733114116,0.09769496525011456,0.55,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,XGBoost,0.7135402887798628,0.7321034153285726,19.90360861971862,0.01856312654870984,0.30683501539139546,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),uv,LightGBM,0.7703575361014261,0.7983873465865711,0.4747656279589686,0.028029810485144968,0.9507996713337727,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),uv,CatBoost,0.7665162229827567,0.7698684646766891,0.4787199489701928,0.003352241693932445,0.9126475807661639,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),uv,RandomForest,0.7613631797064976,0.6576962878457988,0.4839738508275758,0.10366689186069877,0.46433825602665235,Overfit Risk
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),uv,XGBoost,0.7222728804836633,0.7326833624261095,0.5221103655005942,0.010410481942446204,0.41917555924509387,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,LightGBM,0.9202586208112296,0.9225238102496169,1.1715072771013733,0.0022651894383873827,0.8999999999999999,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,CatBoost,0.917353262895727,0.9093133752431573,1.1926581366008173,0.0080398876525698,0.8394900321265387,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,XGBoost,0.9060424095472511,0.9011589586875844,1.2716542721167206,0.004883450859666683,0.538237656506409,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,RandomForest,0.9006814660443672,0.7416057239512838,1.3074294684090544,0.1590757420930834,0.1,Overfit Risk
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,LightGBM,0.9701419386879746,0.9647345116413722,0.9506941259853573,0.005407427046602353,0.9945754406565583,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,CatBoost,0.965681668878481,0.9647848745645502,1.019232088067194,0.0008967943139307488,0.8259690862811132,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,XGBoost,0.9538552804866113,0.9635492546412696,1.1818735491701728,0.009693974154658336,0.4510062392791566,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,RandomForest,0.9533417637061253,0.7839782032367921,1.1884315339984275,0.1693635604693332,0.0,Overfit Risk
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,LightGBM,0.9521076428487943,0.9604170804079775,1.0547044981224718,0.00830943755918312,0.8009047113949578,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,CatBoost,0.946328567292097,0.9596534635790792,1.1165271452346812,0.01332489628698219,0.7362142120989612,Robust
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,RandomForest,0.970772648031607,0.7916127283338539,0.8239340040433661,0.17915991969775313,0.55,Overfit Risk
Meherpur,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,XGBoost,0.926029900491192,0.9568157538086647,1.3107678885271794,0.030785853317472633,0.41835520781784663,Robust
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),temperature,CatBoost,0.9595953336258718,0.9500945036177914,0.7940737987092621,0.009500830008080441,0.9593731081492678,Robust
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),temperature,LightGBM,0.9613264836956396,0.9568067889062675,0.7768764101173589,0.004519694789372086,0.897284185287784,Robust
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),temperature,XGBoost,0.9491412366554365,0.9514154922308637,0.8908980362611211,0.002274255575427264,0.8327943232001357,Robust
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),temperature,RandomForest,0.9254372724825733,0.7578027510653952,1.0787132091184533,0.16763452141717816,0.0,Overfit Risk
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),humidity,RandomForest,0.7116854628858253,0.5745928518635554,2.557767354303064,0.13709261102227,0.7651726579807171,Overfit Risk
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),humidity,CatBoost,0.6194210526641571,0.5179053365423505,2.9386654706036266,0.10151571612180665,0.7244914542328537,Overfit Risk
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),humidity,LightGBM,0.6303319282390587,0.47604220594367463,2.8962346219190223,0.15428972229538407,0.39122650113471213,Overfit Risk
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),humidity,XGBoost,0.49599818784351346,0.38840319074978974,3.381768065667002,0.10759499709372372,0.17696107833116978,Overfit Risk
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),solar_radiation,RandomForest,0.6219437137847607,0.4932714209230905,20.25447808218109,0.12867229286167015,0.7333333333333333,Overfit Risk
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),solar_radiation,CatBoost,0.42933240871815936,0.43969247805964196,24.884815748577907,0.010360069341482592,0.6597509847923534,Robust
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),solar_radiation,LightGBM,0.5229729772666896,0.3963004550223185,22.751724264950013,0.1266725222443711,0.577210431124854,Overfit Risk
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),solar_radiation,XGBoost,0.18866573700771438,0.28433388552103833,29.671720764212335,0.09566814851332395,0.0557916052396982,Robust
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),uv,RandomForest,0.6118516166401573,0.5036837465746773,0.6338265331997542,0.10816787006548001,0.8113923986082997,Overfit Risk
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),uv,CatBoost,0.4588329661280154,0.4367064841577353,0.7484058805322603,0.02212648197028011,0.6586795184110973,Robust
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),uv,LightGBM,0.547024123653131,0.43365912588569683,0.684713769790232,0.1133649977674342,0.5834836199940099,Overfit Risk
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),uv,XGBoost,0.29937880386137405,0.32487856017982464,0.8515558971174855,0.025499756318450584,0.19260559135865363,Robust
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),tmax,LightGBM,0.8476863816594582,0.8579208847173007,1.1361928859152837,0.010234503057842459,0.9661778105392897,Robust
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),tmax,CatBoost,0.8410986601656096,0.8312626691118942,1.1605035614990198,0.009835991053715465,0.8799648282258756,Robust
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),tmax,RandomForest,0.8316781563069803,0.6588036016311469,1.1944086441349993,0.17287455467583335,0.4215175879345232,Overfit Risk
Moulvibazar,5. Haor or Wetland Humid Zone (Haor Basin),tmax,XGBoost,0.7901294529862574,0.8147646902437197,1.3337009032072622,0.024635237257462306,0.37766132028149424,Robust
