zone_name,district,variable,month,value
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,10,27.856814689391612
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,11,23.68029246455137
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wbgt_sun,12,19.699291674062138
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,1,1.5672406469762334e-07
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,2,1.8201461322118787e-06
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,3,0.00023263052240039258
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,4,0.0929512894065073
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,5,0.13465381040935392
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,6,0.3239024359505641
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,7,0.13953989052411334
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,8,0.06858594622828507
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,9,0.08621846340843362
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,10,0.012437704486561087
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,11,1.612285595764605e-05
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heatstroke_hazard,12,5.721115941569314e-07
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,1,1.9946825016465404
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,2,5.238801993109998
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,3,9.301312142636053
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,4,12.763170090769613
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,5,12.579185465492483
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,6,12.562261428422913
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,7,11.78874664056536
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,8,11.446815462217215
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,9,11.678898007882264
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,10,10.923183185282898
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,11,7.294578395787656
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,cdd,12,3.741042812635733
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,1,18.68472835489728
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,2,22.315213949556785
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,3,26.77532654425019
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,4,30.14486111576553
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,5,30.115345053630264
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,6,30.169349740370762
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,7,29.500505833020974
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,8,29.112563288840605
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,9,29.287578375779447
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,10,28.420991471222372
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,11,24.522380596641497
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,temperature,12,20.522487872216317
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,humidity,1,79.45775415116246
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,humidity,2,75.58341743498815
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,humidity,3,74.5536989130584
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,humidity,4,77.46629020513042
