zone_name,variable,month,mean,min,max
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,2,3.9189035981764845e-07,1.848721209055551e-07,5.560006267544156e-07
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,3,6.625826622342755e-06,2.342082092658788e-06,1.17182312641908e-05
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,4,0.002617840356165391,5.3964040363272336e-05,0.008200219128938816
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,5,0.0075665714043499826,0.00021401048371424915,0.021364146512605063
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,6,0.012564285674082427,0.0008333369766917551,0.029776699736826964
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,7,0.04630399734155453,0.0035231091686689915,0.0936838294173069
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,8,0.02604003812405434,0.0036300295734559155,0.04560639263123882
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,9,0.03629100895787703,0.004843049806367185,0.060545848390489765
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,10,0.001255534503836599,0.00011151476752670393,0.0022595195998057383
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,11,5.046816984020801e-06,2.68804464684419e-06,6.719290498974126e-06
5. Haor or Wetland Humid Zone (Haor Basin),heatstroke_hazard,12,3.268864273036845e-07,2.0913950530328553e-07,4.018643047653175e-07
5. Haor or Wetland Humid Zone (Haor Basin),humidity,1,81.32257120621628,81.02146907529895,82.20440386427805
5. Haor or Wetland Humid Zone (Haor Basin),humidity,2,75.71660670776834,73.72511221587706,77.27869856210583
5. Haor or Wetland Humid Zone (Haor Basin),humidity,3,74.0473375361941,72.09485279358273,75.72582326782444
5. Haor or Wetland Humid Zone (Haor Basin),humidity,4,77.45089714675089,74.91254345013246,80.44930248088252
5. Haor or Wetland Humid Zone (Haor Basin),humidity,5,81.89369862062905,81.51891913206707,82.3244276423561
5. Haor or Wetland Humid Zone (Haor Basin),humidity,6,87.03366440127454,84.90899209206299,88.8250314757665
5. Haor or Wetland Humid Zone (Haor Basin),humidity,7,86.08376163772866,84.49646889401302,87.4718892592522
5. Haor or Wetland Humid Zone (Haor Basin),humidity,8,86.24279334993574,84.63886541065983,87.57384816492124
5. Haor or Wetland Humid Zone (Haor Basin),humidity,9,84.8164249305949,84.38738185098146,85.54967090587505
5. Haor or Wetland Humid Zone (Haor Basin),humidity,10,84.5873513590712,84.04278775635963,85.11709677213324
5. Haor or Wetland Humid Zone (Haor Basin),humidity,11,79.69186709633465,77.15708854741072,82.4451123693397
5. Haor or Wetland Humid Zone (Haor Basin),humidity,12,81.6699482879859,80.20612315569927,83.74654788577747
5. Haor or Wetland Humid Zone (Haor Basin),temperature,1,17.457670173941786,16.887787075974057,17.93735838718341
5. Haor or Wetland Humid Zone (Haor Basin),temperature,2,19.957548701606573,18.975265115112585,20.62733763355025
5. Haor or Wetland Humid Zone (Haor Basin),temperature,3,23.91999862084901,22.677622387881964,25.07044198938693
5. Haor or Wetland Humid Zone (Haor Basin),temperature,4,27.2614173941137,25.81417114455981,29.027896420806965
5. Haor or Wetland Humid Zone (Haor Basin),temperature,5,27.72139800763165,26.454935340796478,28.94921958164979
5. Haor or Wetland Humid Zone (Haor Basin),temperature,6,27.86488298675017,26.704779214342736,28.820963088225405
5. Haor or Wetland Humid Zone (Haor Basin),temperature,7,28.70495301854055,27.639142305758376,29.462137036490258
5. Haor or Wetland Humid Zone (Haor Basin),temperature,8,28.5232948627552,27.648622952881354,29.067903781973616
