district,variable,kind,n_months,val_R2,val_RMSE,val_MAE,val_acc_0.5,val_acc_1.0,val_acc_2.0,val_acc_3.0,val_acc_5.0,val_acc_10.0,val_acc_20.0,val_acc_30.0,val_acc_50.0,val_acc_1.5,zone
Gaibandha,wbgt_sun,index,11,0.9777771373384218,0.5859361785284365,0.5040125829485163,0.6363636363636364,0.9090909090909091,1.0,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
Gaibandha,cdd,index,11,0.9741285680824482,0.5979136403417928,0.481204575551725,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,1. Northwest Extreme Heat Zone (Dry Hot Plains)
Gazipur,heat_index,index,11,0.9314703693910168,1.3569722659092494,1.0148153692261042,0.2727272727272727,0.7272727272727273,0.8181818181818182,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Gazipur,wet_bulb,index,11,0.9591114112154742,0.7199309277330115,0.6285559782380126,0.36363636363636365,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Gazipur,wbgt_shade,index,11,0.9613421342445966,0.6530048538941035,0.51705394797428,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Gazipur,wbgt_sun,index,11,0.9535191519208913,0.7076108956918423,0.5659689692861815,0.45454545454545453,0.8181818181818182,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Gazipur,cdd,index,11,0.9385758363900852,0.7454969618948634,0.6060981325445289,0.5454545454545454,0.8181818181818182,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Gopalganj,heat_index,index,11,0.9067336957756129,1.8807536004736214,1.4928828688204916,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.8181818181818182,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Gopalganj,wet_bulb,index,11,0.969208179744453,0.639283763178784,0.5422769025502764,0.5454545454545454,0.9090909090909091,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
Gopalganj,wbgt_shade,index,11,0.9642949672535707,0.6726604547842067,0.561571676697278,0.45454545454545453,0.8181818181818182,1.0,1.0,,,,,,,2. Central Urban Heat Zone (Urban Heat-Island Region)
